id;nombre;departamento_id
05001;Medellín;05
05002;Abejorral;05
05004;Abriaquí;05
05021;Alejandría;05
05030;Amagá;05
05031;Amalfi;05
05034;Andes;05
05036;Angelópolis;05
05038;Angostura;05
05040;Anorí;05
05042;Santa Fé De Antioquia;05
05044;Anzá;05
05045;Apartadó;05
05051;Arboletes;05
05055;Argelia;05
05059;Armenia;05
05079;Barbosa;05
05086;Belmira;05
05088;Bello;05
05091;Betania;05
05093;Betulia;05
05101;Ciudad Bolívar;05
05107;Briceño;05
05113;Buriticá;05
05120;Cáceres;05
05125;Caicedo;05
05129;Caldas;05
05134;Campamento;05
05138;Cañasgordas;05
05142;Caracolí;05
05145;Caramanta;05
05147;Carepa;05
05148;El Carmen De Viboral;05
05150;Carolina;05
05154;Caucasia;05
05172;Chigorodó;05
05190;Cisneros;05
05197;Cocorná;05
05206;Concepción;05
05209;Concordia;05
05212;Copacabana;05
05234;Dabeiba;05
05237;Donmatías;05
05240;Ebéjico;05
05250;El Bagre;05
05264;Entrerríos;05
05266;Envigado;05
05282;Fredonia;05
05284;Frontino;05
05306;Giraldo;05
05308;Girardota;05
05310;Gómez Plata;05
05313;Granada;05
05315;Guadalupe;05
05318;Guarne;05
05321;Guatapé;05
05347;Heliconia;05
05353;Hispania;05
05360;Itagüí;05
05361;Ituango;05
05364;Jardín;05
05368;Jericó;05
05376;La Ceja;05
05380;La Estrella;05
05390;La Pintada;05
05400;La Unión;05
05411;Liborina;05
05425;Maceo;05
05440;Marinilla;05
05467;Montebello;05
05475;Murindó;05
05480;Mutatá;05
05483;Nariño;05
05490;Necoclí;05
05495;Nechí;05
05501;Olaya;05
05541;Peñol;05
05543;Peque;05
05576;Pueblorrico;05
05579;Puerto Berrío;05
05585;Puerto Nare;05
05591;Puerto Triunfo;05
05604;Remedios;05
05607;Retiro;05
05615;Rionegro;05
05628;Sabanalarga;05
05631;Sabaneta;05
05642;Salgar;05
05647;San Andrés De Cuerquía;05
05649;San Carlos;05
05652;San Francisco;05
05656;San Jerónimo;05
05658;San José De La Montaña;05
05659;San Juan De Urabá;05
05660;San Luis;05
05664;San Pedro De Los Milagros;05
05665;San Pedro De Urabá;05
05667;San Rafael;05
05670;San Roque;05
05674;San Vicente Ferrer;05
05679;Santa Bárbara;05
05686;Santa Rosa De Osos;05
05690;Santo Domingo;05
05697;El Santuario;05
05736;Segovia;05
05756;Sonsón;05
05761;Sopetrán;05
05789;Támesis;05
05790;Tarazá;05
05792;Tarso;05
05809;Titiribí;05
05819;Toledo;05
05837;Turbo;05
05842;Uramita;05
05847;Urrao;05
05854;Valdivia;05
05856;Valparaíso;05
05858;Vegachí;05
05861;Venecia;05
05873;Vigía Del Fuerte;05
05885;Yalí;05
05887;Yarumal;05
05890;Yolombó;05
05893;Yondó;05
05895;Zaragoza;05
08001;Barranquilla;08
08078;Baranoa;08
08137;Campo De La Cruz;08
08141;Candelaria;08
08296;Galapa;08
08372;Juan De Acosta;08
08421;Luruaco;08
08433;Malambo;08
08436;Manatí;08
08520;Palmar De Varela;08
08549;Piojó;08
08558;Polonuevo;08
08560;Ponedera;08
08573;Puerto Colombia;08
08606;Repelón;08
08634;Sabanagrande;08
08638;Sabanalarga;08
08675;Santa Lucía;08
08685;Santo Tomás;08
08758;Soledad;08
08770;Suan;08
08832;Tubará;08
08849;Usiacurí;08
11001;Bogotá. D.C.;11
13001;Cartagena De Indias;13
13006;Achí;13
13030;Altos Del Rosario;13
13042;Arenal;13
13052;Arjona;13
13062;Arroyohondo;13
13074;Barranco De Loba;13
13140;Calamar;13
13160;Cantagallo;13
13188;Cicuco;13
13212;Córdoba;13
13222;Clemencia;13
13244;El Carmen De Bolívar;13
13248;El Guamo;13
13268;El Peñón;13
13300;Hatillo De Loba;13
13430;Magangué;13
13433;Mahates;13
13440;Margarita;13
13442;María La Baja;13
13458;Montecristo;13
13468;Santa Cruz De Mompox;13
13473;Morales;13
13490;Norosí;13
13549;Pinillos;13
13580;Regidor;13
13600;Río Viejo;13
13620;San Cristóbal;13
13647;San Estanislao;13
13650;San Fernando;13
13654;San Jacinto;13
13655;San Jacinto Del Cauca;13
13657;San Juan Nepomuceno;13
13667;San Martín De Loba;13
13670;San Pablo;13
13673;Santa Catalina;13
13683;Santa Rosa;13
13688;Santa Rosa Del Sur;13
13744;Simití;13
13760;Soplaviento;13
13780;Talaigua Nuevo;13
13810;Tiquisio;13
13836;Turbaco;13
13838;Turbaná;13
13873;Villanueva;13
13894;Zambrano;13
15001;Tunja;15
15022;Almeida;15
15047;Aquitania;15
15051;Arcabuco;15
15087;Belén;15
15090;Berbeo;15
15092;Betéitiva;15
15097;Boavita;15
15104;Boyacá;15
15106;Briceño;15
15109;Buenavista;15
15114;Busbanzá;15
15131;Caldas;15
15135;Campohermoso;15
15162;Cerinza;15
15172;Chinavita;15
15176;Chiquinquirá;15
15180;Chiscas;15
15183;Chita;15
15185;Chitaraque;15
15187;Chivatá;15
15189;Ciénega;15
15204;Cómbita;15
15212;Coper;15
15215;Corrales;15
15218;Covarachía;15
15223;Cubará;15
19318;Guapi;19
15224;Cucaita;15
15226;Cuítiva;15
15232;Chíquiza;15
15236;Chivor;15
15238;Duitama;15
15244;El Cocuy;15
15248;El Espino;15
15272;Firavitoba;15
15276;Floresta;15
15293;Gachantivá;15
15296;Gámeza;15
15299;Garagoa;15
15317;Guacamayas;15
15322;Guateque;15
15325;Guayatá;15
15332;Güicán De La Sierra;15
15362;Iza;15
15367;Jenesano;15
15368;Jericó;15
15377;Labranzagrande;15
15380;La Capilla;15
15401;La Victoria;15
15403;La Uvita;15
15407;Villa De Leyva;15
15425;Macanal;15
15442;Maripí;15
15455;Miraflores;15
15464;Mongua;15
15466;Monguí;15
15469;Moniquirá;15
15476;Motavita;15
15480;Muzo;15
15491;Nobsa;15
15494;Nuevo Colón;15
15500;Oicatá;15
15507;Otanche;15
15511;Pachavita;15
15514;Páez;15
15516;Paipa;15
15518;Pajarito;15
15522;Panqueba;15
15531;Pauna;15
15533;Paya;15
15537;Paz De Río;15
15542;Pesca;15
15550;Pisba;15
15572;Puerto Boyacá;15
15580;Quípama;15
15599;Ramiriquí;15
15600;Ráquira;15
15621;Rondón;15
15632;Saboyá;15
15638;Sáchica;15
15646;Samacá;15
15660;San Eduardo;15
15664;San José De Pare;15
15667;San Luis De Gaceno;15
15673;San Mateo;15
15676;San Miguel De Sema;15
15681;San Pablo De Borbur;15
15686;Santana;15
15690;Santa María;15
15693;Santa Rosa De Viterbo;15
15696;Santa Sofía;15
15720;Sativanorte;15
15723;Sativasur;15
15740;Siachoque;15
15753;Soatá;15
15755;Socotá;15
15757;Socha;15
15759;Sogamoso;15
15761;Somondoco;15
15762;Sora;15
15763;Sotaquirá;15
15764;Soracá;15
15774;Susacón;15
15776;Sutamarchán;15
15778;Sutatenza;15
15790;Tasco;15
15798;Tenza;15
15804;Tibaná;15
15806;Tibasosa;15
15808;Tinjacá;15
15810;Tipacoque;15
15814;Toca;15
15816;Togüí;15
15820;Tópaga;15
15822;Tota;15
15832;Tununguá;15
15835;Turmequé;15
15837;Tuta;15
15839;Tutazá;15
15842;Úmbita;15
15861;Ventaquemada;15
15879;Viracachá;15
15897;Zetaquira;15
17001;Manizales;17
17013;Aguadas;17
17042;Anserma;17
17050;Aranzazu;17
17088;Belalcázar;17
17174;Chinchiná;17
17272;Filadelfia;17
17380;La Dorada;17
17388;La Merced;17
17433;Manzanares;17
17442;Marmato;17
17444;Marquetalia;17
17446;Marulanda;17
17486;Neira;17
17495;Norcasia;17
17513;Pácora;17
17524;Palestina;17
17541;Pensilvania;17
17614;Riosucio;17
17616;Risaralda;17
17653;Salamina;17
17662;Samaná;17
17665;San José;17
17777;Supía;17
17867;Victoria;17
17873;Villamaría;17
17877;Viterbo;17
18001;Florencia;18
18029;Albania;18
18094;Belén De Los Andaquíes;18
18150;Cartagena Del Chairá;18
18205;Curillo;18
18247;El Doncello;18
18256;El Paujíl;18
18410;La Montañita;18
18460;Milán;18
18479;Morelia;18
18592;Puerto Rico;18
18610;San José Del Fragua;18
18753;San Vicente Del Caguán;18
18756;Solano;18
18785;Solita;18
18860;Valparaíso;18
19001;Popayán;19
19022;Almaguer;19
19050;Argelia;19
19075;Balboa;19
19100;Bolívar;19
19110;Buenos Aires;19
19130;Cajibío;19
19137;Caldono;19
19142;Caloto;19
19212;Corinto;19
19256;El Tambo;19
19290;Florencia;19
19300;Guachené;19
19355;Inzá;19
19364;Jambaló;19
19392;La Sierra;19
19397;La Vega;19
19418;López De Micay;19
19450;Mercaderes;19
19455;Miranda;19
19473;Morales;19
19513;Padilla;19
19517;Páez;19
19532;Patía;19
19533;Piamonte;19
19548;Piendamó - Tunía;19
19573;Puerto Tejada;19
19585;Puracé;19
19622;Rosas;19
19693;San Sebastián;19
19698;Santander De Quilichao;19
19701;Santa Rosa;19
19743;Silvia;19
19760;Sotará Paispamba;19
19780;Suárez;19
19785;Sucre;19
19807;Timbío;19
19809;Timbiquí;19
19821;Toribío;19
19824;Totoró;19
19845;Villa Rica;19
20001;Valledupar;20
20011;Aguachica;20
20013;Agustín Codazzi;20
20032;Astrea;20
20045;Becerril;20
20060;Bosconia;20
20175;Chimichagua;20
20178;Chiriguaná;20
20228;Curumaní;20
20238;El Copey;20
20250;El Paso;20
20295;Gamarra;20
20310;González;20
20383;La Gloria;20
20400;La Jagua De Ibirico;20
20443;Manaure Balcón Del Cesar;20
20517;Pailitas;20
20550;Pelaya;20
20570;Pueblo Bello;20
20614;Río De Oro;20
20621;La Paz;20
20710;San Alberto;20
20750;San Diego;20
20770;San Martín;20
20787;Tamalameque;20
23001;Montería;23
23068;Ayapel;23
23079;Buenavista;23
23090;Canalete;23
23162;Cereté;23
23168;Chimá;23
23182;Chinú;23
23189;Ciénaga De Oro;23
23300;Cotorra;23
23350;La Apartada;23
23417;Lorica;23
23419;Los Córdobas;23
23464;Momil;23
23466;Montelíbano;23
23500;Moñitos;23
23555;Planeta Rica;23
23570;Pueblo Nuevo;23
23574;Puerto Escondido;23
23580;Puerto Libertador;23
23586;Purísima De La Concepción;23
23660;Sahagún;23
23670;San Andrés De Sotavento;23
23672;San Antero;23
23675;San Bernardo Del Viento;23
23678;San Carlos;23
