fruta_id;fruta_nombre;fruta_wikipedia;fruta_imagen;clima_id;clima_nombre;altitud_minima;altitud_maxima;epoca_nombre;mes_inicio;mes_final;municipio_id;municipio_nombre;departamento_id;departamento_nombre
18d59241-41ff-4a34-8fbd-515d2ec7d87b;Banano;https://es.wikipedia.org/wiki/Banana;https://es.wikipedia.org/wiki/Banana#/media/Archivo:Bananas.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Mayo Junio;5;6;1215664a-ab41-47a0-9820-5f729815735a;Apartadó;afdb15f0-6eba-4e49-92fb-9c3721b94f8f;Antioquia
18d59241-41ff-4a34-8fbd-515d2ec7d87b;Banano;https://es.wikipedia.org/wiki/Banana;https://es.wikipedia.org/wiki/Banana#/media/Archivo:Bananas.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Mayo Junio;5;6;bf843ae2-d52d-43f3-85af-e72681a29045;Necoclí;afdb15f0-6eba-4e49-92fb-9c3721b94f8f;Antioquia
43fdea94-91f0-4773-873e-0eda865ae3a2;Guayaba;https://es.wikipedia.org/wiki/Psidium_guajava;https://es.wikipedia.org/wiki/Psidium_guajava#/media/Archivo:Goiaba_vermelha.jpg;056d2a1e-0f8c-45e7-84f3-ddba44ea3462;Templado;1000;2000;Cuatrimestre Enero Abril;1;4;0968ae0a-bd48-44e8-a408-85d0c50a8381;Palestina;a4392468-724c-4eae-9c17-acf39ee21d2f;Caldas
43fdea94-91f0-4773-873e-0eda865ae3a2;Guayaba;https://es.wikipedia.org/wiki/Psidium_guajava;https://es.wikipedia.org/wiki/Psidium_guajava#/media/Archivo:Goiaba_vermelha.jpg;056d2a1e-0f8c-45e7-84f3-ddba44ea3462;Templado;1000;2000;Cuatrimestre Enero Abril;1;4;2b786478-c40b-4578-80f6-f543c0dd0a1e;Chinchiná;a4392468-724c-4eae-9c17-acf39ee21d2f;Caldas
a9f7d3f6-e304-4192-b8c7-9a74aed2a618;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;25fc7dec-2848-4dfe-bf5c-4658e5c59233;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;67e40d8a-637e-48fa-bf3b-ef3e8c817e7a;Retiro;afdb15f0-6eba-4e49-92fb-9c3721b94f8f;Antioquia
a9f7d3f6-e304-4192-b8c7-9a74aed2a618;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;25fc7dec-2848-4dfe-bf5c-4658e5c59233;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;df5eafdb-8d6c-42a0-949f-4369d2cfb28c;Guarne;afdb15f0-6eba-4e49-92fb-9c3721b94f8f;Antioquia
a9f7d3f6-e304-4192-b8c7-9a74aed2a618;Aguacate Hass;https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana);https://es.m.wikipedia.org/wiki/Hass_(variedad_de_Persea_americana)#/media/Archivo%3AAvocado_Hass_-_single_and_halved.jpg;25fc7dec-2848-4dfe-bf5c-4658e5c59233;Frío;2000;3000;Cuatrimestre Enero Abril;1;4;e7afea69-a9fb-4297-b501-f4b726283de9;La Ceja;afdb15f0-6eba-4e49-92fb-9c3721b94f8f;Antioquia
b58089ad-bee7-417f-bc20-6fa2c0e0e67a;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Junio Julio;6;7;0b15de3c-4056-4f2f-9ca6-2f833f7f2f1c;Tocaima;f1739904-e536-42c2-8c27-7d67d6e7f682;Cundinamarca
b58089ad-bee7-417f-bc20-6fa2c0e0e67a;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Junio Julio;6;7;12633ff3-1eb3-4960-acab-5873cd4cb0c8;Espinal;55ab1c6c-6184-4737-9021-dfe55955b2cf;Tolima
b58089ad-bee7-417f-bc20-6fa2c0e0e67a;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Noviembre Diciembre;11;12;0b15de3c-4056-4f2f-9ca6-2f833f7f2f1c;Tocaima;f1739904-e536-42c2-8c27-7d67d6e7f682;Cundinamarca
b58089ad-bee7-417f-bc20-6fa2c0e0e67a;Mango;https://es.wikipedia.org/wiki/Mangifera_indica;https://upload.wikimedia.org/wikipedia/commons/4/49/Mango_-_single.jpg;9758e3e2-c343-4ad9-81f1-21bf347f7ef2;Cálido;0;1000;Bimestral Noviembre Diciembre;11;12;12633ff3-1eb3-4960-acab-5873cd4cb0c8;Espinal;55ab1c6c-6184-4737-9021-dfe55955b2cf;Tolima
